liste_des_candidats,nuances,voix,percent_inscrits,percent_exprimes,elu_e,dep,circo,link
M. Grégory BESSON-MOREAU,ENS,13 770,"21,33","46,11",Non,10,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/010/01001.html
Mme Valérie BAZIN-MALGRAS,LR,19 730,"26,21","59,51",Oui,10,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/010/01002.html
Mme Evelyne HENRY,RN,13 426,"17,84","40,49",Non,10,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/010/01002.html
Mme Angélique RANC,RN,13 913,"20,90","51,65",Oui,10,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/010/01003.html
Mme Loëtitia BEURY,ENS,13 024,"19,57","48,35",Non,10,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/010/01003.html
M. Christophe BARTHÈS,RN,23 914,"24,29","53,56",Oui,11,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/011/01101.html
Mme Sophie COURRIÈRE CALMON,NUP,20 733,"21,06","46,44",Non,11,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/011/01101.html
M. Frédéric FALCON,RN,20 719,"22,36","52,53",Oui,11,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/011/01102.html
M. Alain PEREA,ENS,18 724,"20,21","47,47",Non,11,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/011/01102.html
M. Julien RANCOULE,RN,22 725,"25,31","53,32",Oui,11,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/011/01103.html
Mme Johanna ADDA--NETTER,NUP,19 894,"22,15","46,68",Non,11,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/011/01103.html
M. Stéphane MAZARS,ENS,23 137,"29,61","63,83",Oui,12,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/012/01201.html
M. Léon THEBAULT,NUP,13 113,"16,78","36,17",Non,12,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/012/01201.html
M. Laurent ALEXANDRE,NUP,17 352,"25,09","50,99",Oui,12,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/012/01202.html
M. Samuel DEGUARA,ENS,16 675,"24,11","49,01",Non,12,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/012/01202.html
M. Jean-François ROUSSET,ENS,18 835,"25,97","53,71",Oui,12,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/012/01203.html
M. Michel RHIN,NUP,16 234,"22,39","46,29",Non,12,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/012/01203.html
Mme Sabrina AGRESTI ROUBACHE,ENS,15 459,"18,98","50,79",Oui,13,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01301.html
Mme Monique GRISETI,RN,14 980,"18,39","49,21",Non,13,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/013/01301.html
