liste_des_candidats,nuances,voix,percent_inscrits,percent_exprimes,elu_e,dep,circo,link
Mme Nathalie GERMAIN,RN,18 345,"18,56","47,49",Non,38,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/038/03810.html
Mme Danielle BRULEBOIS,ENS,16 833,"25,88","56,22",Oui,39,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/039/03901.html
M. Anthony BRONDEL,NUP,13 108,"20,16","43,78",Non,39,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/039/03901.html
Mme Marie-Christine DALLOZ,LR,15 380,"27,56","62,10",Oui,39,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/039/03902.html
Mme Evelyne TERNANT,NUP,9 386,"16,82","37,90",Non,39,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/039/03902.html
Mme Justine GRUET,LR,19 397,"27,56","58,46",Oui,39,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/039/03903.html
M. Hervé PRAT,NUP,13 783,"19,58","41,54",Non,39,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/039/03903.html
Mme Geneviève DARRIEUSSECQ,ENS,27 123,"24,99","55,81",Oui,40,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/040/04001.html
M. Guy DE BARBEYRAC,NUP,21 472,"19,79","44,19",Non,40,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/040/04001.html
M. Lionel CAUSSE,ENS,30 305,"24,63","51,94",Oui,40,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/040/04002.html
M. Jean-Marc LESPADE,NUP,28 043,"22,79","48,06",Non,40,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/040/04002.html
M. Boris VALLAUD,NUP,28 998,"29,14","59,93",Oui,40,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/040/04003.html
M. Jean-Francois BROQUÈRES,ENS,19 389,"19,48","40,07",Non,40,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/040/04003.html
M. Marc FESNEAU,ENS,20 249,"24,46","56,47",Oui,41,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/041/04101.html
M. Reda BELKADI,NUP,15 606,"18,85","43,53",Non,41,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/041/04101.html
M. Roger CHUDEAU,RN,18 107,"22,52","51,07",Oui,41,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/041/04102.html
Mme Emmanuelle CHAPLAULT,ENS,17 347,"21,58","48,93",Non,41,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/041/04102.html
M. Christophe MARION,ENS,21 158,"25,83","55,21",Oui,41,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/041/04103.html
Mme Marine BARDET,RN,17 163,"20,95","44,79",Non,41,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/041/04103.html
M. Quentin BATAILLON,ENS,13 231,"20,48","52,10",Oui,42,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04201.html
Mme Laetitia COPIN,NUP,12 166,"18,83","47,90",Non,42,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04201.html
Mme Andrée TAURINYA,NUP,10 488,"20,59","50,63",Oui,42,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04202.html
M. Jean-Michel MIS,ENS,10 225,"20,07","49,37",Non,42,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04202.html
M. Emmanuel MANDON,ENS,18 807,"22,52","57,32",Oui,42,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04203.html
M. Vincent BONY,NUP,14 006,"16,77","42,68",Non,42,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04203.html
M. Dino CINIERI,LR,27 847,"26,78","61,61",Oui,42,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04204.html
M. Bernard PAEMELAERE,NUP,17 352,"16,69","38,39",Non,42,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04204.html
M. Antoine VERMOREL-MARQUES,LR,24 575,"24,02","61,72",Oui,42,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04205.html
Mme Nathalie SARLES,ENS,15 245,"14,90","38,28",Non,42,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04205.html
M. Jean-Pierre TAITE,LR,25 050,"22,53","55,74",Oui,42,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04206.html
M. Julien BOROWCZYK,ENS,19 891,"17,89","44,26",Non,42,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/042/04206.html
Mme Isabelle VALENTIN,LR,32 478,"31,97","70,22",Oui,43,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/043/04301.html
Mme Celline GACON,NUP,13 773,"13,56","29,78",Non,43,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/043/04301.html
M. Jean-Pierre VIGIER,LR,25 621,"32,24","68,35",Oui,43,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/043/04302.html
Mme Azelma SIGAUX,NUP,11 862,"14,93","31,65",Non,43,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/043/04302.html
M. Mounir BELHAMITI,ENS,20 367,"26,41","52,08",Oui,44,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04401.html
M. Karim BENBRAHIM,NUP,18 739,"24,30","47,92",Non,44,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04401.html
M. Andy KERBRAT,NUP,26 851,"29,37","55,80",Oui,44,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04402.html
Mme Valérie OPPELT,ENS,21 271,"23,27","44,20",Non,44,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04402.html
Mme Ségolène AMIOT,NUP,24 837,"25,67","55,70",Oui,44,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04403.html
Mme Anne-France BRUNET,ENS,19 752,"20,41","44,30",Non,44,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04403.html
Mme Julie LAERNOES,NUP,26 411,"28,31","58,03",Oui,44,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04404.html
Mme Aude AMADOU,ENS,19 105,"20,48","41,97",Non,44,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04404.html
Mme Sarah EL HAIRY,ENS,33 834,"26,87","54,41",Oui,44,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04405.html
Mme Sabine LALANDE,NUP,28 348,"22,51","45,59",Non,44,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04405.html
M. Jean-Claude RAUX,NUP,26 852,"23,27","52,84",Oui,44,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04406.html
M. Jordan ESNAULT,ENS,23 961,"20,76","47,16",Non,44,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04406.html
Mme Sandrine JOSSO,ENS,31 074,"26,49","57,06",Oui,44,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04407.html
Mme Veronique MAHÉ,NUP,23 381,"19,93","42,94",Non,44,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04407.html
M. Matthias TAVEL,NUP,21 596,"23,95","54,45",Oui,44,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04408.html
Mme Audrey DUFEU,ENS,18 063,"20,03","45,55",Non,44,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04408.html
M. Yannick HAURY,ENS,31 625,"24,34","53,12",Oui,44,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04409.html
Mme Hélène MACON,NUP,27 908,"21,48","46,88",Non,44,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04409.html
Mme Sophie ERRANTE,ENS,32 852,"26,54","56,52",Oui,44,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04410.html
M. Bruno CAILLETEAU,NUP,25 274,"20,42","43,48",Non,44,10,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/044/04410.html
Mme Stéphanie RIST,ENS,20 163,"25,99","57,21",Oui,45,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04501.html
Mme Ghislaine KOUNOWSKI,NUP,15 080,"19,43","42,79",Non,45,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04501.html
Mme Caroline JANVIER,ENS,20 535,"23,52","55,78",Oui,45,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04502.html
M. Emmanuel DUPLESSY,NUP,16 280,"18,65","44,22",Non,45,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04502.html
Mme Mathilde PARIS,RN,16 846,"23,77","52,22",Oui,45,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04503.html
Mme Carine BARBIER,ENS,15 416,"21,75","47,78",Non,45,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04503.html
M. Thomas MÉNAGÉ,RN,19 087,"25,51","63,36",Oui,45,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04504.html
M. Bruno NOTTIN,NUP,11 037,"14,75","36,64",Non,45,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04504.html
M. Anthony BROSSE,ENS,15 747,"21,37","50,02",Oui,45,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04505.html
M. Valentin MANENT,RN,15 736,"21,36","49,98",Non,45,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04505.html
M. Richard RAMOS,ENS,18 865,"25,09","57,27",Oui,45,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04506.html
M. Olivier HICTER,NUP,14 073,"18,72","42,73",Non,45,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/045/04506.html
M. Aurélien PRADIÉ,LR,25 615,"35,16","64,63",Oui,46,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/046/04601.html
Mme Elsa BOUGEARD,NUP,14 016,"19,24","35,37",Non,46,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/046/04601.html
Mme Huguette TIEGNA,ENS,12 744,"19,11","34,14",Oui,46,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/046/04602.html
M. Thierry GROSSEMY,NUP,12 618,"18,92","33,80",Non,46,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/046/04602.html
M. Christophe PROENÇA,DVG,11 966,"17,95","32,06",Non,46,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/046/04602.html
M. Michel LAUZZANA,ENS,20 328,"22,92","51,48",Oui,47,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/047/04701.html
M. Sébastien DELBOSQ,RN,19 163,"21,61","48,52",Non,47,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/047/04701.html
Mme Hélène LAPORTE,RN,16 516,"21,32","39,44",Oui,47,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/047/04702.html
M. Christophe COURREGELONGUE,NUP,12 880,"16,63","30,75",Non,47,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/047/04702.html
M. Alexandre FRESCHI,ENS,12 484,"16,12","29,81",Non,47,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/047/04702.html
Mme Annick COUSIN,RN,18 747,"24,67","56,97",Oui,47,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/047/04703.html
M. Xavier CZAPLA,NUP,14 161,"18,64","43,03",Non,47,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/047/04703.html
M. Pierre MOREL A L'HUISSIER,UDI,17 355,"28,97","54,28",Oui,48,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/048/04801.html
Mme Sandrine DESCAVES,NUP,14 620,"24,40","45,72",Non,48,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/048/04801.html
M. François GERNIGON,ENS,22 724,"25,82","55,52",Oui,49,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04901.html
M. Arash SAEIDI,NUP,18 207,"20,69","44,48",Non,49,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04901.html
Mme Stella DUPONT,ENS,25 005,"26,59","56,76",Oui,49,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04902.html
Mme Caroline BESSAT,NUP,19 050,"20,26","43,24",Non,49,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04902.html
Mme Anne-Laure BLIN,LR,19 020,"26,20","60,65",Oui,49,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04903.html
Mme Véronique ROUDÉVITCH,NUP,12 342,"17,00","39,35",Non,49,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04903.html
Mme Laëtitia SAINT-PAUL,ENS,19 913,"26,12","60,33",Oui,49,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04904.html
Mme Caroline RABAULT,NUP,13 093,"17,17","39,67",Non,49,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04904.html
M. Denis MASSEGLIA,ENS,19 395,"24,41","60,76",Oui,49,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04905.html
M. Christophe AIRAUD,NUP,12 525,"15,77","39,24",Non,49,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04905.html
Mme Nicole DUBRE CHIRAT,ENS,24 615,"25,02","57,60",Oui,49,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04906.html
Mme Tassadit AMGHAR,NUP,18 119,"18,41","42,40",Non,49,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04906.html
M. Philippe BOLO,ENS,20 865,"25,18","55,56",Oui,49,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04907.html
M. Guillaume JOUANNEAU,NUP,16 692,"20,14","44,44",Non,49,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/049/04907.html
M. Philippe GOSSELIN,LR,27 166,"31,03","68,78",Oui,50,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/050/05001.html
M. Guillaume HÉDOUIN,NUP,12 331,"14,09","31,22",Non,50,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/050/05001.html
M. Bertrand SORRE,ENS,28 280,"29,16","64,45",Oui,50,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/050/05002.html
M. Patrick GRIMBERT,NUP,15 601,"16,09","35,55",Non,50,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/050/05002.html
M. Stéphane TRAVERT,ENS,27 829,"25,10","56,13",Oui,50,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/050/05003.html
Mme Gaëlle VEROVE,NUP,21 751,"19,62","43,87",Non,50,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/050/05003.html
Mme Anna PIC,NUP,20 482,"22,91","51,61",Oui,50,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/050/05004.html
Mme Sonia KRIMI,ENS,19 204,"21,48","48,39",Non,50,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/050/05004.html
M. Xavier ALBERTINI,ENS,15 898,"21,35","55,91",Oui,51,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05101.html
Mme Evelyne BOURGOIN,NUP,12 535,"16,83","44,09",Non,51,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05101.html
Mme Anne-Sophie FRIGOUT,RN,14 655,"19,63","54,82",Oui,51,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05102.html
Mme Lynda MEGUENINE,NUP,12 079,"16,18","45,18",Non,51,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05102.html
M. Eric GIRARDIN,ENS,16 836,"21,03","51,43",Oui,51,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05103.html
Mme Jennifer MARC,RN,15 897,"19,86","48,57",Non,51,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05103.html
Mme Lise MAGNIER,ENS,17 294,"22,43","55,33",Oui,51,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05104.html
M. Thierry BESSON,RN,13 962,"18,11","44,67",Non,51,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05104.html
M. Charles DE COURSON,DVD,21 325,"28,06","63,03",Oui,51,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05105.html
M. Pierre THIONNET,RN,12 506,"16,46","36,97",Non,51,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/051/05105.html
M. Christophe BENTZ,RN,16 201,"23,14","51,25",Oui,52,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/052/05201.html
Mme Bérangère ABBA,ENS,15 411,"22,02","48,75",Non,52,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/052/05201.html
Mme Laurence ROBERT-DEHAULT,RN,13 877,"23,34","51,70",Oui,52,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/052/05202.html
M. François CORNUT-GENTILLE,LR,12 963,"21,81","48,30",Non,52,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/052/05202.html
M. Guillaume GAROT,NUP,20 178,"27,38","63,22",Oui,53,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05301.html
Mme Béatrice MOTTIER,ENS,11 739,"15,93","36,78",Non,53,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05301.html
Mme Géraldine BANNIER,ENS,19 812,"25,05","58,62",Oui,53,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05302.html
M. Grégory BOISSEAU,NUP,13 983,"17,68","41,38",Non,53,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05302.html
M. Yannick FAVENNEC,ENS,19 187,"26,49","57,13",Oui,53,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05303.html
Mme Marion DETAIS,NUP,6 491,"8,96","19,33",Non,53,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05303.html
Mme Annie BELL,RN,5 335,"7,37","15,88",Non,53,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05303.html
Mme Amélie DE GRANDMAISON,REC,1 160,"1,60","3,45",Non,53,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05303.html
Mme Claudine CHARTIER,DSV,535,"0,74","1,59",Non,53,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05303.html
Mme Martine AMELIN,DXG,445,"0,61","1,32",Non,53,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05303.html
Mme Sonia GARNIER,ECO,433,"0,60","1,29",Non,53,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/053/05303.html
Mme Carole GRANDJEAN,ENS,19 520,"23,68","53,43",Oui,54,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05401.html
M. Nordine JOUIRA,NUP,17 017,"20,64","46,57",Non,54,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05401.html
M. Emmanuel LACRESSE,ENS,15 689,"23,24","50,26",Oui,54,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05402.html
M. Stéphane HABLOT,NUP,15 524,"23,00","49,74",Non,54,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05402.html
Mme Martine ETIENNE,NUP,13 886,"17,20","51,94",Oui,54,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05403.html
M. Xavier PALUSZKIEWICZ,ENS,12 851,"15,91","48,06",Non,54,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05403.html
M. Thibault BAZIN,LR,24 952,"25,58","62,18",Oui,54,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05404.html
Mme Dominique BILDE,RN,15 175,"15,56","37,82",Non,54,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05404.html
M. Dominique POTIER,DVG,21 781,"27,75","63,12",Oui,54,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05405.html
M. Philippe MORENVILLIER,RN,12 728,"16,22","36,88",Non,54,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05405.html
Mme Caroline FIAT,NUP,16 132,"18,48","50,23",Oui,54,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05406.html
M. Anthony BOULOGNE,RN,15 984,"18,31","49,77",Non,54,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/054/05406.html
M. Bertrand PANCHER,DVD,19 027,"25,15","55,40",Oui,55,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/055/05501.html
Mme Brigitte GAUDINEAU,RN,15 317,"20,25","44,60",Non,55,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/055/05501.html
Mme Florence GOULET,RN,13 269,"22,29","53,50",Oui,55,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/055/05502.html
Mme Anne BOIS,ENS,11 534,"19,38","46,50",Non,55,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/055/05502.html
Mme Anne LE HÉNANFF,ENS,34 382,"29,93","59,25",Oui,56,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05601.html
M. Luc FOUCAULT,NUP,23 648,"20,59","40,75",Non,56,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05601.html
M. Jimmy PAHUN,ENS,32 026,"28,49","58,60",Oui,56,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05602.html
M. Karol KIRCHNER,NUP,22 630,"20,13","41,40",Non,56,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05602.html
Mme Nicole LE PEIH,ENS,24 283,"25,13","56,64",Oui,56,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05603.html
Mme Marie Madeleine DORE-LUCAS,NUP,18 588,"19,24","43,36",Non,56,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05603.html
M. Paul MOLAC,REG,37 678,"33,72","73,43",Oui,56,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05604.html
Mme Rozenn GUEGAN,ENS,13 631,"12,20","26,57",Non,56,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05604.html
Mme Lysiane MÉTAYER,ENS,19 666,"24,03","51,35",Oui,56,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05605.html
M. Damien GIRARD,NUP,18 634,"22,77","48,65",Non,56,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05605.html
M. Jean-Michel JACQUES,ENS,23 925,"25,52","54,81",Oui,56,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05606.html
M. Jean-Michel BAUDRY,NUP,19 725,"21,04","45,19",Non,56,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/056/05606.html
M. Belkhir BELHADDAD,ENS,17 532,"18,84","53,59",Oui,57,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05701.html
M. Grégoire LALOUX,RN,15 184,"16,32","46,41",Non,57,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05701.html
M. Ludovic MENDES,ENS,16 764,"21,99","56,41",Oui,57,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05702.html
Mme Lisa LAHORE,NUP,12 952,"16,99","43,59",Non,57,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05702.html
Mme Charlotte LEDUC,NUP,14 012,"18,47","51,46",Oui,57,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05703.html
Mme Françoise GROLET,RN,13 215,"17,42","48,54",Non,57,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05703.html
M. Fabien DI FILIPPO,LR,22 655,"27,97","69,30",Oui,57,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05704.html
M. Michel RAMBOUR,RN,10 038,"12,39","30,70",Non,57,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05704.html
M. Vincent SEITLINGER,LR,16 413,"22,66","59,12",Oui,57,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05705.html
Mme Marie-Claude VOINÇON,RN,11 348,"15,67","40,88",Non,57,05,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05705.html
M. Kévin PFEFFER,RN,12 368,"18,49","56,96",Oui,57,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05706.html
M. Christophe AREND,ENS,9 347,"13,97","43,04",Non,57,06,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05706.html
M. Alexandre LOUBET,RN,18 424,"20,59","55,41",Oui,57,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05707.html
Mme Hélène ZANNIER,ENS,14 829,"16,57","44,59",Non,57,07,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05707.html
M. Laurent JACOBELLI,RN,15 176,"16,64","52,43",Oui,57,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05708.html
Mme Céline LEGER,NUP,13 770,"15,10","47,57",Non,57,08,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05708.html
Mme Isabelle RAUCH,ENS,20 048,"19,71","55,03",Oui,57,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05709.html
Mme Brigitte VAÏSSE,NUP,16 386,"16,11","44,97",Non,57,09,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/057/05709.html
Mme Perrine GOULET,ENS,16 554,"22,17","54,43",Oui,58,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/058/05801.html
Mme Pauline VIGNERON,RN,13 858,"18,56","45,57",Non,58,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/058/05801.html
M. Patrice PERROT,ENS,15 577,"19,53","36,59",Oui,58,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/058/05802.html
M. Julien GUIBERT,RN,15 472,"19,40","36,34",Non,58,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/058/05802.html
Mme Marie Anne GUILLEMAIN,NUP,11 527,"14,45","27,07",Non,58,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/058/05802.html
M. Adrien QUATENNENS,NUP,17 428,"27,13","65,24",Oui,59,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/059/05901.html
Mme Vanessa DUHAMEL,ENS,9 284,"14,45","34,76",Non,59,01,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/059/05901.html
M. Ugo BERNALICIS,NUP,21 740,"25,03","58,00",Oui,59,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/059/05902.html
M. Rudy ELEGEEST,ENS,15 743,"18,13","42,00",Non,59,02,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/059/05902.html
M. Benjamin SAINT-HUILE,DVG,18 448,"19,98","51,70",Oui,59,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/059/05903.html
Mme Sandra DELANNOY,RN,17 237,"18,67","48,30",Non,59,03,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/059/05903.html
Mme Brigitte LISO,ENS,25 445,"25,02","56,05",Oui,59,04,https://www.resultats-elections.interieur.gouv.fr/legislatives-2022/059/05904.html
